"","Ro2020s021","Ro2020s035","Ro2020s001","Ro2020s003","Ro2020s022","Ro2020s028","Ro2020s012","Ro2020s002","Ro2020s008","Ro2020s026","Ro2020s024","Ro2020s037","Ro2020s016","Ro2020s004","Ro2020s019","Ro2020s029","Ro2020s031","Ro2020s027","Ro2020s009","Ro2020s039","Ro2020s010","Ro2020s030","Ro2020s013","Ro2020s020","Ro2020s007","Ro2020s017","Ro2020s014","Ro2020s023","Ro2020s015","Ro2020s033","Ro2020s025","Ro2020s038","Ro2020s011","Ro2020s018","Ro2020s006","Ro2020s005","Ro2020s036","Ro2020s032","Ro2020s034","taxonomy"
"fbc44c3388e3ff29e0b0b1eda42ce827",2,0,5,5,5,6,9,2,26,3,0,2,6,0,0,6,85,3,12,3,3,92,16,7,15,6,3,0,5,104,0,5,10,2,0,0,4,72,0,"D_0__Bacteria; D_1__Synergistetes; D_2__Synergistia; D_3__Synergistales; D_4__Synergistaceae; D_5__Thermovirga; D_6__uncultured bacterium"
"70f9e7401f68b2ae207c79a7ee33e269",3,0,0,3,0,0,0,2,2,0,5,0,8,2,4,0,0,4,0,0,7,0,0,4,0,0,0,0,0,0,5,0,0,3,10,6,0,0,0,"D_0__Bacteria; D_1__Armatimonadetes; D_2__uncultured"
"45096c099428e363e96bbea0462e05ee",6,0,0,0,0,4,23,0,0,7,0,0,6,0,2,22,0,7,21,0,19,0,34,5,5,26,14,4,18,0,0,3,38,13,8,13,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured"
"6ec00b1258d734ebaef480189b01ffcf",0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium"
"516272113e183ef823ea2cc6549e4ae3",0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__SAR324 clade(Marine group B); D_4__uncultured bacterium zdt-33i5; D_5__uncultured bacterium zdt-33i5; D_6__uncultured bacterium zdt-33i5"
"87d3232fe51bfbc8d4fded7a33a471c8",0,0,5,0,2,6,2,0,0,0,0,0,3,0,0,0,0,0,12,0,6,0,4,0,0,5,0,0,5,0,0,0,6,0,0,0,0,0,0,"D_0__Bacteria; D_1__Kiritimatiellaeota; D_2__Kiritimatiellae; D_3__WCHB1-41; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism"
"d45bacf3a88ba9125211f6eb3fd17160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__SB-5; D_5__uncultured organism; D_6__uncultured organism"
"ad1e992196d7aa1572afcfc997e44d19",8,0,0,0,0,4,0,0,0,1,3,0,2,0,0,12,0,5,0,0,0,0,0,14,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured; D_6__uncultured bacterium"
"449ba5463f4f6c68a2d4ba6d882febfd",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Micrococcaceae; D_5__Micrococcus"
"c41239c465fb102580caefcc5e7c7595",16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured; D_6__benzene mineralizing consortium clone SB-1"
