#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Mogibacterium	0	0	0	4	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	64	37	61	150	74	142	15	23	6	12	16	36	1	47	25	45	27	44	32	80	24	74	82	36	35	53	24	41	19	70	3	20	100	39	15	85	10	156	17	14	34	61	30	86	82	26	68	49	20	20	67	13	22	34	25	13	10	10	172	36	9	8	15	13	25	7	9	13	22
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Anaerostipes	0	0	0	0	0	0	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	24	11	49	16	13	21	10	23	14	3	17	10	6	2	15	15	31	12	20	23	29	13	10	54	10	8	6	5	17	25	5	8	22	22	1	37	52	54	8	3	6	20	35	17	23	16	18	27	9	3	12	20	6	3	0	5	5	8	1	7	10	16	34	16	77	18	13	25	17
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Butyrivibrio	0	0	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	10	13	10	3	76	18	18	15	7	2	3	7	3	11	3	3	15	11	10	15	21	28	5	27	7	4	2	9	10	12	5	3	3	3	5	11	10	11	13	11	34	15	8	13	5	5	4	3	5	2	17	10	6	3	0	1	5	1	7	9	2	3	4	7	63	2	6	9	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	0	5	13	7	19	11	0	0	6	1	2	2	0	0	8	1	0	2	0	1	5	1	1	0	6	2	0	0	2	11	0	0	1	1	0	3	0	2	4	1	0	1	0	0	1	0	4	4	4	0	2	1	1	3	1	0	0	0	3	0	1	0	4	1	12	3	3	9	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	19	4	0	2	3	81	1	0	3	0	39	4	1	1	3	4	0	2	4	52	4	0	2	4	0	3	0	5	4	3	0	9	32	5	10	5	8	7	1	2	0	6	4	65	0	13	26	2	1	8	14	23	31	4	1	1	1	0	6	0	4	0	2	4	15	0	0	0	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	13	2	10	8	8	13	3	1	22	3	12	5	0	8	5	11	13	9	0	1	9	0	9	11	6	2	1	2	12	8	3	9	11	17	0	7	18	9	1	2	3	4	2	0	8	5	11	8	0	2	4	6	5	0	0	2	0	2	1	0	3	0	1	2	0	0	0	1	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
