#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	163	223	247	283	92	253	15	573	124	11	340	53	1	149	120	165	91	42	355	330	265	887	359	954	126	178	224	265	1170	1586	13	68	596	698	160	124	194	152	157	219	35	421	128	495	126	119	421	199	246	46	127	164	399	793	167	157	8	24	462	78	69	202	57	32	108	18	28	122	65
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Oribacterium	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	11	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1	1	0	1	0	0	1	1	2	0	1	0	0	1	1	1	0	0	1	0	0	0	0	4	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	8	47	6	15	48	55	15	12	28	23	9	23	14	21	27	26	21	73	8	40	20	167	20	113	39	40	88	14	143	370	2	97	55	112	38	16	241	37	19	10	22	54	59	42	54	5	34	9	102	11	14	19	350	76	2	6	86	1	6	42	26	6	20	3	135	6	5	17	8
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	5	5	49	12	5	16	1	5	5	0	5	9	0	3	5	27	17	10	22	21	3	22	24	275	5	32	6	8	23	98	6	8	50	27	7	21	0	2	1	2	1	12	0	25	17	36	37	11	1	4	12	2	23	12	2	0	8	4	4	0	4	0	1	12	38	19	8	2	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__Peptococcus	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	36	1	0	5	0	0	1	0	0	0	0	21	0	0	0	0	0	0	1	0	0	12	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	5	2	0	3	0	2	25	0	7	1	0	11	1	2	0	9	1	5	13	220	3	10	4	4	5	3	11	15	50	94	3	77	0	72	30	1	23	4	7	5	11	4	0	100	14	4	5	3	7	9	9	2	125	4	4	11	5	2	0	0	18	3	2	0	1	0	1	17	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	28	16	3	87	1	22	1	40	23	1	2	28	0	43	2	4	0	73	0	54	170	47	89	93	7	14	10	213	510	144	4	485	366	40	129	140	4	4	10	0	0	92	0	106	6	170	347	89	20	25	84	105	48	99	0	37	0	1	45	1	3	7	8	5	29	20	2	126	12
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Acetanaerobacterium	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerotruncus	0	0	0	0	0	6	0	0	0	0	39	0	0	2	0	0	0	712	0	0	0	0	5	28	0	2509	0	0	228	0	0	87	41	183	7	11	0	0	0	0	0	0	0	4	0	84	0	123	16	9	0	0	0	0	0	1	0	0	43	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	5	1	1	0	3	2	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
