#OTU ID	FR-026	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-214	FR-215	FR-221	FR-223	FR-229	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-419	FR-430	FR-450	FR-451	FR-459	FR-460	FR-496	FR-500	FR-503	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-817	FR-820	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__Enterococcus	0	3	1	0	9	0	26	17	318	50	0	17	0	137	5	738	4	25	0	3	0	27	0	1	0	0	2	0	5	9	135	29	0	0	1019	3	461	125	0	632	13	5	2	6910	24	2	0	4	2	1260	882	2778	0	25	1	0	260	3	128	3	3	117	1	0	57	12	0	1	0	11	33	0	0	682	0	0	0	2	0	17	141	19	53	3	206	0	6	0	2	6	2	2	69	867	5	539	175	49	3	0	1	49	17	2	1073	10	12	75	27238	71	0	7	9	0	0	172
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	21	28	1	1	0	156	18	11	797	3	1413	9	102	11	8	161	1	3	2	31	4	0	15	10	85	59	227	27	8	64	702	12	1	4210	58	230	223	53	111	45	108	2	195	0	252	11	373	82	77	12	6	0	519	23	6	7	4010	4791	12	6	16	5	1	175	1	18	0	72	20	14	4	0	451	0	1488	11	96	33591	84	11	99	66	14	1	80	0	1	23	1	5	27	75	1	64	129	35	3	8	2	601	0	16	7	186	96	1040	66	44	53	0	22	0	24	6	127
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Pediococcus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	141	0	69	0	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0	0	2	4	0	0	0	0	0	6	2	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Leuconostocaceae._.g__Leuconostoc	0	12	2	0	0	0	1	40	4	2	44	0	0	37	1	0	65	1	6	16	6	2	0	0	19	0	0	0	0	0	23	71	0	0	0	0	3	29	1	1	8	7	28	59	28	0	0	0	0	17	0	1	0	6	0	0	1	2	0	0	0	0	2	10	4	3	0	0	0	3	40	0	0	7	0	6	0	8	1	3	3	8	0	24	0	20	1	0	11	1	7	97	151	10	1	1	9	3	0	0	4	10	1	5	47	0	0	50	33	8	0	13	0	10	1	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Leuconostocaceae._.g__Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	32	0	0	0	34	0	0	0	10	0	0	0	0	0	1	93	0	0	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	2	5	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	4	4	0	0	0	0	0	0	0	1	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	5	0	2	1	2	0	0	0	3	1	0	2	9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Lactococcus	0	25	28	2	4	0	2	2	24	18	17	2	0	49	272	0	2	0	10	228	1	11	0	30	22	30	1	0	21	6	12	3581	1	0	1	0	93	13	12	2	7	0	123	808	168	3	0	424	2803	552	566	185	2	434	0	3	603	9	106	7	0	5	1	45	40	25	4	1	0	5	6	1	12	14	0	7	66	28	0	4	33	19	5	1	21	0	228	0	48	2	4	272	804	154	1	3	1	3	10	0	40	26	12	4	19	0	1	224	1546	863	7	0	14	5	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Streptococcus	5	2626	897	647	50	36	3898	416	329	879	194	57	13	4631	653	50	8438	161	327	27	1479	46	33	396	576	190	3988	108	264	241	1092	3715	322	4559	161	241	2058	729	50	166	3004	161	15604	1724	535	2320	38	29108	2555	1396	595	162	33	1009	503	11	1109	7117	3572	1201	773	328	248	12056	93	401	87	27	6	4323	3498	8245	4230	632	143	1319	1026	2041	220	847	370	1135	11825	10194	1358	1123	3016	281	588	284	181	3680	4424	489	24284	38565	96	54	12	318	512	580	33	442	510	2405	127	44938	10271	1728	1698	545	333	278	1688	13512
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__._.f__._.g__	0	40	28	4	1	1	5	1	3	49	12	29	8	52	2	9	0	0	45	17	15	0	0	19	8	16	14	68	691	0	198	121	17	0	311	303	0	45	69	58	0	786	0	244	2	18	12	1	6	175	120	64	26	0	2	57	1	218	44	13	2	52	3	43	82	0	80	4	146	1	14	9	3	86	1	1	26	159	179	5	96	56	0	92	0	2	197	0	2	191	279	1	6	26	12	65	3231	79	312	0	82	1	163	1	11	125	6	30	0	1	0	42	7	92	12	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	70	3457	1410	4382	2020	188	568	330	670	16610	2744	968	939	480	404	1273	236	66	5333	1176	208	16	508	1762	585	685	6102	20582	13382	11	1911	7406	4953	1278	45936	24790	223	1190	5609	4227	5413	6944	343	1834	369	2446	2381	44	1112	4591	6849	6275	3923	126	1657	9297	520	9743	2547	1854	66	143	797	1078	1614	1298	544	1938	9035	893	2365	167	307	2787	592	408	3020	21421	3523	713	14283	2894	43	1445	68	264	4084	146	1450	7139	11863	1485	1317	5373	3701	1246	1547	16163	7315	36	3889	552	5852	7926	3723	2187	302	222	437	1014	277	369	828	5524	54	267
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Anaerosporobacter	0	116	0	10	138	18	4	25	277	123	9	7	12	3	9	3	0	8	10	45	13	0	2	90	7	90	1	38	56	0	72	78	0	79	138	111	0	303	77	9	34	327	137	72	1	39	32	0	46	422	63	20	14	10	15	7	10	73	63	94	2	0	28	631	2	0	3	11	14	3	752	4	4	15	7	4	14	295	17	0	115	67	0	22	0	0	339	1	7	169	112	28	171	66	13	8	0	38	20	0	20	936	5	258	215	11	447	368	0	847	4	16	28	10	0	44
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	11	1935	77	21	45	26	0	5	1028	233	189	0	42	120	1	412	3	0	107	2399	44	0	40	1223	68	675	3202	385	934	0	2891	70	321	0	616	0	0	126	125	328	31	99	17	462	2	11	472	973	59	749	169	481	13	480	7	21	0	1	731	444	0	0	104	173	194	13	81	506	126	39	412	0	155	398	62	35	4218	314	296	163	3304	278	1	105	3	0	195	15	124	544	2760	745	310	100	24	1	67	234	18	0	94	61	4	15	66	735	156	4094	5	618	0	97	268	1293	44	113
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_2._.g__Natronincola	0	1	1	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	7	0	0	0	0	9	0	2	5	0	0	0	4	1	0	0	0	0	2	2	3	10	1	3	5	27	0	1	6	24	6	3	2	4	1	0	0	0	0	2	2	1	0	0	0	0	1	0	0	0	1	14	17	0	0	1	1	9	0	18	0	3	5	2	0	8	0	0	11	0	0	3	2	110	13	5	1	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_4._.g__Caminicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Anaerococcus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	6	0	2	0	0	0	0	118	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	6	1	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	2	0	0	5	0	0	9	11	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	23	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Finegoldia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	3	0	0	7	0	0	5	0	0	0	0	0	0	11	0	2	0	0	4	0	1	6	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	6	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Parvimonas	0	1	0	4	0	0	0	10	0	0	0	1	0	14	0	0	1	0	2	1	1	0	0	0	0	0	1	0	28	0	0	4	0	24	5	9	0	1	70	0	1	110	1	7798	1	19	3	17	4	5	420	96	0	89	413	0	9	8	1	0	2	0	0	18	3	2	1	296	4	6	23	6	0	8	0	10	1	175	2	5	19	1	1	0	0	0	4	1	0	37	14	3	3	12	0	24	15	1	39	317	0	16	277	4	3	111	2	104	0	0	0	187	26	4	0	1
