#OTU ID	GSVY1IH01.MID4.pool1-1	GG349S001.MID13.1320	GSVY1IH02.MID8.pool2-8	GSVY1IH02.MID10.pool2-1	GSVY1IH03.MID9.pool3-9	GSVY1IH03.MID8.pool3-8	GSVY1IH03.MID6.pool3-6	GSVY1IH04.MID12.pool4-12	GSVY1IH03.MID12.pool3-1	GG349S002.MID13.1321	GSVY1IH01.MID12.pool1-12	GG349S003.MID13.1322	GSVY1IH01.MID2.pool1-2	GG349S007.MID13.1327	GSVY1IH01.MID8.pool1-8	GSVY1IH02.MID2.pool2-2	GSVY1IH03.MID7.pool3-7	GSVY1IH03.MID12.pool3-12	GSVY1IH04.MID2.pool4-2	GSVY1IH01.MID7.pool1-7	GSVY1IH04.MID7.pool4-7	GSVY1IH03.MID3.pool3-3	GG349S004.MID13.1323	GSVY1IH04.MID6.pool4-6	GSVY1IH04.MID3.pool4-3	GSVY1IH01.MID6.pool1-6	GSVY1IH02.MID7.pool2-7	GSVY1IH04.MID8.pool4-8	GSVY1IH02.MID6.pool2-6	GSVY1IH01.MID4.pool1-4	GSVY1IH01.MID9.pool1-9	GSVY1IH02.MID4.pool2-4	GG349S005.MID13.1325	GSVY1IH03.MID4.pool3-4	GSVY1IH04.MID4.pool4-4	GSVY1IH04.MID9.pool4-9	GG349S006.MID13.1326	GSVY1IH01.MID5.pool1-5	GSVY1IH01.MID10.pool1-10	GG349S008.MID13.1328
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	108	265	21	44	47	36	34	41	3	18	9	22	133	56	1	56	3	7	637	164	7	0	4	114	0	25	8	0	62	0	16	1	313	0	0	23	1	19	25	13
k__Bacteria._.p__Cyanobacteria/Chloroplast._.c__Cyanobacteria._.o__._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	0	0	0	0	0	67	3	55	0	0	11	58	0	0	18	0	3	10	0	41	1	0	0	0	0	10	0	0	0	0	2	3	68	0	0	0	0	30	21	5
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__._.f__._.g__	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	4	0	1	2	0	5	0	2	0	2	4	0	2	0	1	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Bacillaceae_1._.g__Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Bacillales_Incertae_Sedis_XI._.g__Gemella	0	0	0	0	0	0	0	2	0	0	3	39	0	0	0	18	33	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Bacillales._.f__Staphylococcaceae._.g__Staphylococcus	1	0	1	0	9	0	0	0	3	819	0	2	0	0	0	8	0	15	0	1	1	0	5	0	0	0	0	0	0	8	1	0	0	1	0	1	11	40	0	36
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__._.g__	1	0	3	0	0	1	0	0	4	0	24	0	2	4	3	0	0	5	0	1	0	2	0	0	7	0	0	1	0	9	0	0	0	49	6	0	7	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Aerococcaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Aerococcaceae._.g__Abiotrophia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Aerococcaceae._.g__Facklamia	0	0	0	2	0	0	0	0	1	0	0	0	3	2	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1	0	1	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__	0	0	0	1	0	0	2	0	21	0	0	0	12	13	5	4	0	0	0	0	0	10	8	0	36	0	0	8	0	35	0	7	0	7	30	0	118	0	7	2
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__Enterococcus	268	1	20	137	6	53	144	1	928	0	0	0	345	810	197	62	0	20	14	0	1	466	230	0	2130	0	30	212	0	1756	1	138	3	325	1378	0	3137	41	260	29
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Enterococcaceae._.g__Tetragenococcus	0	0	0	1	1	0	0	0	0	0	3	10	0	0	10	0	0	6	0	0	0	0	227	0	0	0	0	1	0	1	0	0	0	265	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	0	15	23	0	0	0	10	0	0	260	0	0	1	0	2	623	684	0	1	0	4	11	0	37	0	4	0	0	24	3	1	1	81	0	3	3	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Leuconostocaceae._.g__Weissella	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Lactococcus	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Streptococcaceae._.g__Streptococcus	3	0	2	66	8	265	2	200	2	2	455	1179	149	14	23	53	118	424	12	136	6	62	18	6	2	46	1	25	1	61	3	7	5	470	65	54	3245	21	520	3
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__._.f__._.g__	0	0	0	0	0	14	0	24	0	0	5	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	4	217	17	182	194	130	16	611	30	643	171	69	48	16	11	302	15	140	145	412	18	0	1	66	0	11	3	59	39	0	356	26	135	0	0	32	2	38	25	4382
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__	0	0	0	0	0	0	0	2	0	0	39	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	0	0	0	0	0	27	0	21	4	4	310	0	0	0	0	0	0	23	2	0	0	7	17	0	8	0	0	0	0	0	0	0	8	0	0	0	1303	1	44	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Anaerococcus	1	14	34	47	35	34	4	10	64	399	40	0	7	312	27	27	174	234	32	133	86	4	114	6	0	110	11	173	41	1	64	20	18	1	0	104	49	32	0	1438
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Finegoldia	5	0	35	26	125	100	3	20	50	97	25	0	10	357	53	31	27	181	25	23	38	0	76	1	0	10	16	339	41	0	130	4	15	0	0	360	6	2	0	1945
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Parvimonas	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	23	1	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XI._.g__Peptoniphilus	0	1	5	53	76	54	0	23	4	0	72	0	22	228	17	77	106	3	32	97	5	0	75	0	0	1	26	102	24	1	96	7	7	2	9	209	0	40	0	1275
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Anaerovorax	0	0	6	0	0	7	1	216	0	0	57	0	1	0	0	1	0	42	6	1	0	0	0	0	0	24	0	0	2	0	4	0	14	0	0	6	0	1	1	20
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Mogibacterium	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__Eubacterium	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Incertae_Sedis_XI._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	38
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Incertae_Sedis_XI._.g__Murdochiella	0	0	7	8	3	17	0	57	0	0	15	0	18	0	17	0	0	20	0	63	4	0	0	0	0	9	0	66	0	0	19	0	1	0	0	0	0	0	0	19
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	5	26	25	35	5	58	11	7	243	950	43	1072	52	38	1	23	7	9	210	17	28	3	133	32	0	5	29	0	51	0	65	0	204	0	0	10	1196	70	11	63
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Anaerostipes	0	1	0	0	0	6	0	1	1	623	27	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	34	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	4	29	13	0	4	1	7	13	26	1704	78	602	24	16	1	10	10	41	115	20	30	2	0	17	2	2	11	8	122	0	4	0	71	0	0	18	715	5	227	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	114	75	9	1	10	22	3	5	19	276	16	28	4	3	3	5	14	3	59	9	79	19	264	9	0	20	70	36	24	1	16	22	49	0	0	7	38	12	17	20
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	0	10	3	5	4	0	0	0	0	0	0	35	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	5	0	0	1	0	0	0	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	1	0	12	2	0	113	0	1	4	1	7	15	10	0	7	3	16	12	40	21	47	0	0	0	0	0	60	15	0	0	16	0	19	0	0	0	0	31	18	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	1	1	5	9	4	4	0	5	0	0	15	14	9	0	0	6	0	5	58	2	0	0	0	0	0	3	1	0	60	0	11	0	58	0	0	6	164	15	1	40
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	0	0	3	4	1	44	3	22	0	438	151	424	0	0	1	1	0	38	3	5	1	1	0	7	0	1	0	0	40	0	1	0	54	0	0	1	152	23	10	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lactonifactor	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Moryella	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	3	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	0	22	4	11	0	1	0	2	1	6	2	30	38	0	0	19	0	20	149	0	0	0	0	0	0	0	0	0	5	0	2	0	5	0	0	1	197	27	4	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	26	169	17	22	103	28	2	8	42	4107	92	7380	18	94	15	10	3	54	85	20	17	8	4	11	5	10	33	138	218	0	19	13	201	0	0	69	336	50	13	37
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__	0	0	0	0	1	5	0	3	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	1	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	1	33	42	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__Peptococcus	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	0	0	0	0	0	5	0	0	45	40	0	1	0	0	0	0	0	0	4	0	0	0	11	0	0	0	0	0	4	0	0	0	14	0	0	2	0	0	25	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Peptostreptococcus	1	0	0	31	22	1	0	0	0	0	0	2	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	93	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	26	156	59	17	37	36	26	163	106	692	89	49	4	9	3	0	61	49	9	95	261	7	1124	157	0	20	30	12	36	0	3	7	354	0	1	2	1	65	17	3
